"Species","effect","group","term","estimate","std.error","statistic","df","p.value","padj"
"s__Bacteroides_finegoldii","fixed",NA,"st131_detectyes",0.201161827065613,0.194647579914528,1.03346687975235,165.756268553509,0.302890937571237,0.456567211689806
"s__Bacteroides_fragilis","fixed",NA,"(Intercept)",-3.86888967694062,0.17579955712078,-22.00739148781,125.151030806769,7.57388047842293e-45,1.54700537431617e-44
"s__Bacteroides_fragilis","fixed",NA,"st131_detectyes",0.194175111588448,0.268742871183889,0.722531208857939,187.059296508847,0.470870289751804,0.627157013458112
"s__Bacteroides_gallinarum","fixed",NA,"(Intercept)",-6.27563663950276,0.0295976743278387,-212.031410643642,116.284526875462,2.36233654845689e-152,5.45962224532258e-151
"s__Bacteroides_gallinarum","fixed",NA,"st131_detectyes",-0.0962588804923787,0.0534433666483048,-1.80113803693974,205.057067309827,0.073150323956621,0.13564874338464
"s__Bacteroides_intestinalis","fixed",NA,"(Intercept)",-5.37196871116084,0.115384004990036,-46.5573084555761,119.140598286259,2.73249804594054e-78,6.59604944165144e-78
"s__Bacteroides_intestinalis","fixed",NA,"st131_detectyes",-0.0661641700251425,0.123854397707734,-0.534209291310542,155.902812416914,0.593957684702265,0.73757133383923
"s__Bacteroides_nordii","fixed",NA,"(Intercept)",-4.85651026299742,0.112153638183864,-43.302298005132,123.744371911208,1.29214282367659e-76,3.0716080837112e-76
"s__Bacteroides_nordii","fixed",NA,"st131_detectyes",0.0942778026898157,0.147473494751481,0.639286421256177,172.029670984106,0.523486957249661,0.677400571412511
"s__Bacteroides_ovatus","fixed",NA,"(Intercept)",-3.33329291836338,0.166105225634309,-20.0673573371005,125.995799155797,4.68585667951836e-41,9.46270086737688e-41
"s__Bacteroides_ovatus","fixed",NA,"st131_detectyes",0.265265203380461,0.219855462043165,1.20654361240468,174.467686577783,0.229241417697623,0.373002984728335
"s__Bacteroides_salyersiae","fixed",NA,"(Intercept)",-5.24175826092749,0.125776487061758,-41.6751841570652,122.034157170876,5.05238966783225e-74,1.15907762967916e-73
"s__Bacteroides_salyersiae","fixed",NA,"st131_detectyes",0.0846595651303179,0.146884163642934,0.576369589686469,162.828183765758,0.565161258424024,0.711726791637924
